epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,26170.3,0.30968,0.19288,0.82741,0.9932,0.99686,0.99478,0.94188,0.37778,0.18846,0.84937,0.0005479,0.0005479,0.0005479
139,26372.8,0.31024,0.19183,0.82458,0.99234,0.99471,0.99482,0.94222,0.37678,0.18753,0.8477,0.0005446,0.0005446,0.0005446
140,26558.5,0.30532,0.19144,0.8291,0.99241,0.99551,0.99476,0.94157,0.37256,0.18771,0.84608,0.0005413,0.0005413,0.0005413
141,26742.9,0.29977,0.19241,0.81979,0.99353,0.99707,0.99475,0.94188,0.37112,0.18954,0.84669,0.000538,0.000538,0.000538
142,26905,0.30273,0.1931,0.81957,0.99517,0.99378,0.99454,0.94464,0.36957,0.18918,0.84479,0.0005347,0.0005347,0.0005347
143,27098.2,0.30607,0.19411,0.8188,0.99278,0.99605,0.99466,0.94251,0.37352,0.18673,0.84495,0.0005314,0.0005314,0.0005314
144,27265.3,0.29975,0.19076,0.82795,0.99413,0.99779,0.99459,0.94633,0.37467,0.18679,0.84425,0.0005281,0.0005281,0.0005281
145,27473.2,0.30554,0.19202,0.82671,0.99487,0.99458,0.99418,0.93814,0.38222,0.18963,0.84632,0.0005248,0.0005248,0.0005248
146,27641.9,0.30484,0.19052,0.82242,0.99125,0.99693,0.99417,0.93912,0.36788,0.18693,0.84089,0.0005215,0.0005215,0.0005215
147,27809.1,0.30025,0.19246,0.82023,0.98941,0.99555,0.99452,0.94304,0.37472,0.18899,0.84544,0.0005182,0.0005182,0.0005182
148,27997.9,0.3039,0.18981,0.82321,0.9936,0.99365,0.99457,0.94064,0.35406,0.18857,0.83947,0.0005149,0.0005149,0.0005149
149,28186.6,0.29771,0.18939,0.82359,0.99719,0.99393,0.99466,0.94619,0.34915,0.18122,0.83727,0.0005116,0.0005116,0.0005116
150,28385.4,0.29783,0.18918,0.81762,0.9931,0.99682,0.99474,0.94089,0.36642,0.18691,0.84159,0.0005083,0.0005083,0.0005083
151,28566.2,0.29523,0.1885,0.81822,0.99408,0.99504,0.99478,0.94389,0.35886,0.18236,0.83972,0.000505,0.000505,0.000505
152,28759.6,0.29933,0.1887,0.81926,0.99453,0.9958,0.99482,0.9483,0.35484,0.17646,0.83669,0.0005017,0.0005017,0.0005017
153,28941.6,0.28961,0.18103,0.82298,0.99655,0.99393,0.99487,0.94671,0.34788,0.17625,0.83448,0.0004984,0.0004984,0.0004984
154,29118.2,0.28255,0.18141,0.81795,0.99485,0.99678,0.99473,0.94065,0.35613,0.1826,0.83954,0.0004951,0.0004951,0.0004951
155,29302.3,0.2958,0.188,0.81631,0.99645,0.9947,0.99478,0.94093,0.35122,0.18481,0.83631,0.0004918,0.0004918,0.0004918
156,29480.9,0.29953,0.18925,0.81851,0.99589,0.9954,0.99479,0.94835,0.35278,0.17976,0.83656,0.0004885,0.0004885,0.0004885
157,29676.1,0.29113,0.18302,0.82033,0.99697,0.99781,0.99475,0.95023,0.34811,0.17693,0.8337,0.0004852,0.0004852,0.0004852
158,29851.8,0.29357,0.18472,0.81983,0.99703,0.9972,0.99482,0.94893,0.35208,0.17672,0.83407,0.0004819,0.0004819,0.0004819
159,30026.8,0.27713,0.17828,0.81726,0.99763,0.99625,0.99491,0.94237,0.35776,0.18052,0.83391,0.0004786,0.0004786,0.0004786
160,30179.7,0.29715,0.18839,0.81914,0.9984,0.99638,0.99492,0.94464,0.36241,0.18062,0.83487,0.0004753,0.0004753,0.0004753
161,30370.3,0.28805,0.18246,0.82002,0.99658,0.99639,0.9949,0.94518,0.36189,0.18338,0.83919,0.000472,0.000472,0.000472
162,30555.1,0.28153,0.18128,0.82037,0.99418,0.99953,0.9949,0.94813,0.34391,0.17568,0.83243,0.0004687,0.0004687,0.0004687
163,30737.1,0.28415,0.18227,0.81836,0.9955,0.99767,0.9949,0.95178,0.338,0.17643,0.83155,0.0004654,0.0004654,0.0004654
164,30921.4,0.27962,0.17806,0.8138,0.99667,0.99813,0.99493,0.94958,0.35318,0.17583,0.83556,0.0004621,0.0004621,0.0004621
165,31099.7,0.28504,0.1809,0.81953,0.99516,0.99635,0.99485,0.94997,0.34786,0.18007,0.83723,0.0004588,0.0004588,0.0004588
166,31288.1,0.27583,0.1808,0.81841,0.99656,0.99736,0.99491,0.95651,0.33048,0.17199,0.82894,0.0004555,0.0004555,0.0004555
167,31474.3,0.28469,0.18186,0.81616,0.99643,0.99813,0.99496,0.95601,0.33269,0.17071,0.82825,0.0004522,0.0004522,0.0004522
168,31654.2,0.27926,0.17912,0.81787,0.99772,0.99563,0.99497,0.954,0.32771,0.17093,0.82645,0.0004489,0.0004489,0.0004489
169,31829.4,0.27263,0.17502,0.81166,0.99614,0.99486,0.99494,0.95353,0.33605,0.1728,0.82854,0.0004456,0.0004456,0.0004456
